id,ReadingTime,Lat,Lon,Elev,Speed,LapNumber,TrackLocation
256,7/13/2017 10:54:47 PM,35.700368,-78.675980,112.900000,23.145000,9,4
257,7/13/2017 10:54:48 PM,35.700160,-78.675933,111.800000,22.605000,9,4
258,7/13/2017 10:54:49 PM,35.699978,-78.675803,111.700000,24.153000,9,3
259,7/13/2017 10:54:50 PM,35.699868,-78.675575,113.700000,24.580000,9,3
260,7/13/2017 10:54:51 PM,35.699880,-78.675320,113.900000,23.829000,9,2
261,7/13/2017 10:54:52 PM,35.700005,-78.675125,114.300000,23.176000,9,2
262,7/13/2017 10:54:53 PM,35.700192,-78.675045,114.100000,22.502000,9,2
263,7/13/2017 10:54:54 PM,35.700397,-78.675048,114.000000,23.006000,9,2
264,7/13/2017 10:54:55 PM,35.700605,-78.675075,113.300000,23.407000,9,1
265,7/13/2017 10:54:56 PM,35.700815,-78.675117,112.500000,24.220000,10,1
266,7/13/2017 10:54:57 PM,35.701012,-78.675225,112.000000,24.302000,10,6
267,7/13/2017 10:54:58 PM,35.701133,-78.675437,111.000000,24.688000,10,6
268,7/13/2017 10:54:59 PM,35.701130,-78.675690,110.400000,23.448000,10,6
269,7/13/2017 10:55:00 PM,35.701007,-78.675885,112.400000,22.795000,10,5
270,7/13/2017 10:55:01 PM,35.700820,-78.675985,113.500000,22.826000,10,5
271,7/13/2017 10:55:02 PM,35.700615,-78.676012,114.200000,22.800000,10,5
272,7/13/2017 10:55:03 PM,35.700407,-78.675993,114.500000,23.135000,10,4
273,7/13/2017 10:55:04 PM,35.700202,-78.675948,114.400000,22.615000,10,4
274,7/13/2017 10:55:05 PM,35.700015,-78.675837,113.900000,24.133000,10,3
275,7/13/2017 10:55:06 PM,35.699887,-78.675630,113.700000,24.457000,10,3
276,7/13/2017 10:55:07 PM,35.699870,-78.675373,113.300000,23.942000,10,3
277,7/13/2017 10:55:08 PM,35.699977,-78.675162,113.000000,23.124000,10,2
278,7/13/2017 10:55:09 PM,35.700158,-78.675055,113.100000,22.960000,10,2
279,7/13/2017 10:55:10 PM,35.700365,-78.675042,113.200000,23.448000,10,2
280,7/13/2017 10:55:11 PM,35.700573,-78.675067,112.500000,23.433000,10,1
